sku_id,单品,渠道类型,渠道,是否目标品牌,规格数值,规格单位,价格元,价格类型,城市,采价日期,数据来源,来源链接,备注
RZ-05,双汇 火腿肠(玉米热狗肠),量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
RZ-05,双汇 火腿肠(玉米热狗肠),商超,大润发,否,,,,标价,,,门店实地采价,,
RZ-05,双汇 火腿肠(玉米热狗肠),商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
RZ-05,双汇 火腿肠(玉米热狗肠),商超,永辉超市,否,,,,标价,,,门店实地采价,,
RZ-05,双汇 火腿肠(玉米热狗肠),电商,淘宝,否,,,,标价,,,门店实地采价,,
RZ-05,双汇 火腿肠(玉米热狗肠),电商,拼多多,否,,,,标价,,,门店实地采价,,
YL-01,怡宝 饮用纯净水,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
YL-01,怡宝 饮用纯净水,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
YL-01,怡宝 饮用纯净水,商超,大润发,否,,,,标价,,,门店实地采价,,
YL-01,怡宝 饮用纯净水,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
YL-01,怡宝 饮用纯净水,商超,永辉超市,否,,,,标价,,,门店实地采价,,
YL-01,怡宝 饮用纯净水,电商,淘宝,否,,,,标价,,,门店实地采价,,
YL-01,怡宝 饮用纯净水,电商,拼多多,否,,,,标价,,,门店实地采价,,
YL-02,农夫山泉 天然水 红瓶,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
YL-02,农夫山泉 天然水 红瓶,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
YL-02,农夫山泉 天然水 红瓶,商超,大润发,否,,,,标价,,,门店实地采价,,
YL-02,农夫山泉 天然水 红瓶,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
YL-02,农夫山泉 天然水 红瓶,商超,永辉超市,否,,,,标价,,,门店实地采价,,
YL-02,农夫山泉 天然水 红瓶,电商,淘宝,否,,,,标价,,,门店实地采价,,
YL-02,农夫山泉 天然水 红瓶,电商,拼多多,否,,,,标价,,,门店实地采价,,
YL-03,康师傅 冰红茶,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
YL-03,康师傅 冰红茶,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
YL-03,康师傅 冰红茶,商超,大润发,否,,,,标价,,,门店实地采价,,
YL-03,康师傅 冰红茶,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
YL-03,康师傅 冰红茶,商超,永辉超市,否,,,,标价,,,门店实地采价,,
YL-03,康师傅 冰红茶,电商,淘宝,否,,,,标价,,,门店实地采价,,
YL-03,康师傅 冰红茶,电商,拼多多,否,,,,标价,,,门店实地采价,,
YL-04,元气森林 白桃味气泡水,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
YL-04,元气森林 白桃味气泡水,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
YL-04,元气森林 白桃味气泡水,商超,大润发,否,,,,标价,,,门店实地采价,,
YL-04,元气森林 白桃味气泡水,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
YL-04,元气森林 白桃味气泡水,商超,永辉超市,否,,,,标价,,,门店实地采价,,
YL-04,元气森林 白桃味气泡水,电商,淘宝,否,,,,标价,,,门店实地采价,,
YL-04,元气森林 白桃味气泡水,电商,拼多多,否,,,,标价,,,门店实地采价,,
YL-05,百事可乐 可乐 瓶装,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
YL-05,百事可乐 可乐 瓶装,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
YL-05,百事可乐 可乐 瓶装,商超,大润发,否,,,,标价,,,门店实地采价,,
YL-05,百事可乐 可乐 瓶装,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
YL-05,百事可乐 可乐 瓶装,商超,永辉超市,否,,,,标价,,,门店实地采价,,
YL-05,百事可乐 可乐 瓶装,电商,淘宝,否,,,,标价,,,门店实地采价,,
YL-05,百事可乐 可乐 瓶装,电商,拼多多,否,,,,标价,,,门店实地采价,,
YL-06,脉动 青柠味维生素饮料,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
YL-06,脉动 青柠味维生素饮料,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
YL-06,脉动 青柠味维生素饮料,商超,大润发,否,,,,标价,,,门店实地采价,,
YL-06,脉动 青柠味维生素饮料,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
YL-06,脉动 青柠味维生素饮料,商超,永辉超市,否,,,,标价,,,门店实地采价,,
YL-06,脉动 青柠味维生素饮料,电商,淘宝,否,,,,标价,,,门店实地采价,,
YL-06,脉动 青柠味维生素饮料,电商,拼多多,否,,,,标价,,,门店实地采价,,
YL-07,康师傅 茉莉花茶(茉莉蜜茶),量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
YL-07,康师傅 茉莉花茶(茉莉蜜茶),量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
YL-07,康师傅 茉莉花茶(茉莉蜜茶),商超,大润发,否,,,,标价,,,门店实地采价,,
YL-07,康师傅 茉莉花茶(茉莉蜜茶),商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
YL-07,康师傅 茉莉花茶(茉莉蜜茶),商超,永辉超市,否,,,,标价,,,门店实地采价,,
YL-07,康师傅 茉莉花茶(茉莉蜜茶),电商,淘宝,否,,,,标价,,,门店实地采价,,
YL-07,康师傅 茉莉花茶(茉莉蜜茶),电商,拼多多,否,,,,标价,,,门店实地采价,,
YL-08,农夫山泉东方树叶 无糖茶,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
YL-08,农夫山泉东方树叶 无糖茶,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
YL-08,农夫山泉东方树叶 无糖茶,商超,大润发,否,,,,标价,,,门店实地采价,,
YL-08,农夫山泉东方树叶 无糖茶,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
YL-08,农夫山泉东方树叶 无糖茶,商超,永辉超市,否,,,,标价,,,门店实地采价,,
YL-08,农夫山泉东方树叶 无糖茶,电商,淘宝,否,,,,标价,,,门店实地采价,,
YL-08,农夫山泉东方树叶 无糖茶,电商,拼多多,否,,,,标价,,,门店实地采价,,
FB-01,统一 老坛酸菜牛肉面 桶装,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
FB-01,统一 老坛酸菜牛肉面 桶装,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
FB-01,统一 老坛酸菜牛肉面 桶装,商超,大润发,否,,,,标价,,,门店实地采价,,
FB-01,统一 老坛酸菜牛肉面 桶装,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
FB-01,统一 老坛酸菜牛肉面 桶装,商超,永辉超市,否,,,,标价,,,门店实地采价,,
FB-01,统一 老坛酸菜牛肉面 桶装,电商,淘宝,否,,,,标价,,,门店实地采价,,
FB-01,统一 老坛酸菜牛肉面 桶装,电商,拼多多,否,,,,标价,,,门店实地采价,,
FB-02,康师傅 红烧牛肉面 桶装,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
FB-02,康师傅 红烧牛肉面 桶装,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
FB-02,康师傅 红烧牛肉面 桶装,商超,大润发,否,,,,标价,,,门店实地采价,,
FB-02,康师傅 红烧牛肉面 桶装,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
FB-02,康师傅 红烧牛肉面 桶装,商超,永辉超市,否,,,,标价,,,门店实地采价,,
FB-02,康师傅 红烧牛肉面 桶装,电商,淘宝,否,,,,标价,,,门店实地采价,,
FB-02,康师傅 红烧牛肉面 桶装,电商,拼多多,否,,,,标价,,,门店实地采价,,
FB-03,杨掌柜 粉面菜蛋,量贩零食,零食很忙,是,,,,标价,,,门店实地采价,,
FB-03,杨掌柜 粉面菜蛋,量贩零食,赵一鸣零食,是,,,,标价,,,门店实地采价,,
FB-03,杨掌柜 粉面菜蛋,商超,大润发,否,,,,标价,,,门店实地采价,,
FB-03,杨掌柜 粉面菜蛋,商超,盒马鲜生,否,,,,标价,,,门店实地采价,,
FB-03,杨掌柜 粉面菜蛋,商超,永辉超市,否,,,,标价,,,门店实地采价,,
FB-03,杨掌柜 粉面菜蛋,电商,淘宝,否,,,,标价,,,门店实地采价,,
FB-03,杨掌柜 粉面菜蛋,电商,拼多多,否,,,,标价,,,门店实地采价,,
